WMU,Year,Active Hunters,Bull Harvest,Cow Harvest,Calf Harvest,Total Harvest
2,2006,309,35,16,9,60
2,2007,402,35,11,36,82
2,2008,349,29,12,11,52
2,2009,311,25,10,11,46
2,2010,380,31,10,5,46
2,2011,417,21,8,13,42
2,2012,297,17,12,7,36
2,2013,274,18,20,12,50
2,2014,289,21,14,8,43
2,2015,306,18,20,7,45
2,2016,281,13,11,2,26
2,2017,280,24,10,0,34
2,2018,334,19,7,2,28
2,2019,272,18,4,3,25
2,2020,329,24,15,2,41
2,2021,325,22,11,7,40
2,2022,324,29,8,2,39
2,2023,294,28,12,2,42
3,2006,1375,145,49,77,271
3,2007,1404,132,44,58,234
3,2008,1380,123,46,76,245
3,2009,1427,88,50,63,201
3,2010,1457,86,53,61,200
3,2011,1406,88,45,35,168
3,2012,1337,93,70,48,211
3,2013,1300,66,65,59,190
3,2014,1169,60,43,38,141
3,2015,1084,50,32,6,88
3,2016,1082,60,42,10,112
3,2017,1072,42,44,19,105
3,2018,1114,39,28,12,79
3,2019,1095,72,50,7,129
3,2020,1123,62,39,2,103
3,2021,881,67,43,16,126
3,2022,789,47,46,13,106
3,2023,788,55,46,12,113
4,2006,1044,117,42,20,179
4,2007,939,120,38,24,182
4,2008,903,90,24,27,141
4,2009,1049,63,22,9,94
4,2010,922,66,32,20,118
4,2011,922,73,33,39,145
4,2012,931,77,43,23,143
4,2013,990,88,47,30,165
4,2014,946,59,45,39,143
4,2015,840,37,33,6,76
4,2016,806,56,39,19,114
4,2017,881,53,43,3,99
4,2018,954,23,48,3,74
4,2019,878,51,45,9,105
4,2020,1000,55,45,0,100
4,2021,716,66,47,16,129
4,2022,721,63,37,15,115
4,2023,725,53,46,13,112
5,2006,2725,209,83,85,377
5,2007,2480,218,75,126,419
5,2008,2418,201,62,78,341
5,2009,2550,184,61,90,335
5,2010,2053,139,58,60,257
5,2011,1977,131,62,102,295
5,2012,2026,150,63,81,294
5,2013,1932,141,61,103,305
5,2014,1244,28,35,30,93
5,2015,943,40,24,24,88
5,2016,794,29,27,25,81
5,2017,840,25,20,11,56
5,2018,830,16,30,8,54
5,2019,937,30,43,7,80
5,2020,990,34,44,10,88
5,2021,632,46,37,13,96
5,2022,601,43,39,9,91
5,2023,593,34,28,13,75
6,2006,580,44,17,13,74
6,2007,349,22,6,4,32
6,2008,275,14,4,2,20
6,2009,310,4,0,0,4
6,2010,271,6,3,0,9
6,2011,169,7,0,2,9
6,2012,155,5,0,3,8
6,2013,148,9,0,0,9
6,2014,96,0,0,0,0
6,2015,67,6,0,0,6
6,2016,22,0,0,0,0
6,2017,21,0,0,0,0
6,2018,31,0,0,0,0
6,2019,32,0,0,0,0
6,2020,29,0,0,0,0
6,2021,3,0,0,0,0
6,2022,13,0,0,1,1
6,2023,16,0,0,1,1
8,2006,1398,123,51,44,218
8,2007,1485,97,37,32,166
8,2008,1184,98,38,30,166
8,2009,1261,63,25,22,110
8,2010,1145,62,24,37,123
8,2011,975,53,44,10,107
8,2012,809,48,26,15,89
8,2013,772,35,17,0,52
8,2014,411,5,7,0,12
8,2015,238,2,7,4,13
8,2016,121,6,4,0,10
8,2017,187,3,6,3,12
8,2018,198,5,5,2,12
8,2019,195,5,0,1,6
8,2020,184,5,1,1,7
8,2021,62,2,2,2,6
8,2022,53,4,1,5,10
8,2023,43,5,2,5,12
13,2006,5017,307,131,169,607
13,2007,4751,279,126,80,485
13,2008,4121,219,80,50,349
13,2009,4196,180,94,86,360
13,2010,3765,208,134,104,446
13,2011,3763,189,96,87,372
13,2012,3578,209,90,50,349
13,2013,3637,177,74,95,346
13,2014,1631,21,13,24,58
13,2015,1074,20,16,10,46
13,2016,1051,26,24,0,50
13,2017,1075,25,25,14,64
13,2018,908,15,11,21,47
13,2019,791,10,14,13,37
13,2020,765,11,11,6,28
13,2021,247,17,11,4,32
13,2022,181,9,7,0,16
13,2023,147,8,5,7,20
14,2006,212,17,2,8,27
14,2007,179,13,2,8,23
14,2008,143,15,3,6,24
14,2009,165,6,4,17,27
14,2010,145,19,3,6,28
14,2011,197,22,15,8,45
14,2012,188,15,19,6,40
14,2013,245,15,9,11,35
14,2014,250,13,13,13,39
14,2015,153,8,10,4,22
14,2016,195,8,12,5,25
14,2017,197,13,14,0,27
14,2018,152,11,9,2,22
14,2019,146,12,7,4,23
14,2020,174,7,6,1,14
14,2021,139,10,6,5,21
14,2022,140,10,8,1,19
14,2023,149,12,7,4,23
17,2006,265,13,9,7,29
17,2007,309,36,13,9,58
17,2008,324,29,8,4,41
17,2009,318,15,5,8,28
17,2010,333,32,17,14,63
17,2011,319,35,17,2,54
17,2012,302,35,7,0,42
17,2013,301,29,10,10,49
17,2014,384,26,6,7,39
17,2015,410,33,7,0,40
17,2016,439,40,20,0,60
17,2017,466,23,5,0,28
17,2018,420,25,7,0,32
17,2019,412,21,11,0,32
17,2020,496,17,11,1,29
17,2021,508,18,7,4,29
17,2022,391,21,3,0,24
17,2023,325,13,6,1,20
19,2006,1233,50,18,24,92
19,2007,1226,64,20,25,109
19,2008,1354,47,21,12,80
19,2009,1425,40,12,0,52
19,2010,1647,54,27,33,114
19,2011,1498,66,37,0,103
19,2012,1540,58,23,11,92
19,2013,1461,52,16,2,70
19,2014,1630,63,20,9,92
19,2015,1402,52,15,7,74
19,2016,1517,46,17,3,66
19,2017,1573,37,27,3,67
19,2018,1538,23,20,3,46
19,2019,1444,48,16,8,72
19,2020,1612,54,21,0,75
19,2021,1419,43,20,12,75
19,2022,1265,43,21,4,68
19,2023,1300,42,24,4,70
22,2006,1246,76,24,39,139
22,2007,959,26,11,16,53
22,2008,832,29,10,2,41
22,2009,792,36,13,15,64
22,2010,824,26,6,14,46
22,2011,971,46,32,17,95
22,2012,900,49,24,21,94
22,2013,1104,57,29,13,99
22,2014,1183,45,25,23,93
22,2015,943,19,29,0,48
22,2016,767,15,29,0,44
22,2017,885,21,35,14,70
22,2018,939,17,19,32,68
22,2019,888,24,30,4,58
22,2020,793,22,13,1,36
22,2021,483,25,15,8,48
22,2022,443,13,15,7,35
22,2023,411,14,17,7,38
23,2006,828,27,13,8,48
23,2007,881,41,12,9,62
23,2008,900,28,11,2,41
23,2009,1241,62,37,18,117
23,2010,1290,60,33,13,106
23,2011,1192,71,28,18,117
23,2012,1249,66,27,0,93
23,2013,1363,44,16,16,76
23,2014,1107,16,23,12,51
23,2015,997,40,11,3,54
23,2016,969,31,22,7,60
23,2017,1047,36,34,3,73
23,2018,1178,37,18,0,55
23,2019,1166,36,29,11,76
23,2020,1173,40,23,4,67
23,2021,840,30,22,6,58
23,2022,730,34,22,5,61
23,2023,785,49,23,6,78
24,2006,1954,92,53,24,169
24,2007,2077,84,59,13,156
24,2008,2066,88,49,38,175
24,2009,1964,85,40,62,187
24,2010,1916,92,48,71,211
24,2011,1814,111,62,41,214
24,2012,1999,91,48,43,182
24,2013,1988,63,40,0,103
24,2014,2159,67,28,27,122
24,2015,2064,69,33,0,102
24,2016,1799,57,37,42,136
24,2017,1977,63,51,12,126
24,2018,1964,47,31,41,119
24,2019,2122,85,63,7,155
24,2020,2123,83,39,11,133
24,2021,1588,75,54,19,148
24,2022,1472,92,39,23,154
24,2023,859,34,25,12,71
25,2006,288,14,4,2,20
25,2007,331,19,11,4,34
25,2008,329,15,7,0,22
25,2009,329,25,4,3,32
25,2010,385,29,5,0,34
25,2011,381,17,10,8,35
25,2012,300,15,9,3,27
25,2013,308,8,6,5,19
25,2014,394,20,11,6,37
25,2015,311,6,7,0,13
25,2016,277,12,2,1,15
25,2017,269,16,6,2,24
25,2018,247,14,0,2,16
25,2019,265,11,6,0,17
25,2020,251,15,3,0,18
25,2021,202,11,1,0,12
25,2022,177,12,4,1,17
25,2023,203,9,1,1,11
26,2006,715,16,8,5,29
26,2007,679,20,7,5,32
26,2008,579,22,8,9,39
26,2009,606,16,5,8,29
26,2010,673,27,8,11,46
26,2011,676,16,10,6,32
26,2012,737,16,5,19,40
26,2013,643,11,5,6,22
26,2014,765,23,7,14,44
26,2015,814,25,7,0,32
26,2016,731,15,7,0,22
26,2017,794,14,3,0,17
26,2018,694,14,3,2,19
26,2019,468,4,1,3,8
26,2020,466,11,3,3,17
26,2021,393,13,6,2,21
26,2022,315,1,9,2,12
26,2023,318,13,6,4,23
27,2006,1322,54,15,33,102
27,2007,1339,45,10,54,109
27,2008,1244,37,9,14,60
27,2009,1272,42,4,14,60
27,2010,1256,37,4,23,64
27,2011,1174,33,14,19,66
