Year,Active Hunters,Bull Harvest,Cow Harvest,Calf Harvest,Total Harvest
2006,66275,2909,1055,1589,5553
2007,65435,2640,1001,1272,4913
2008,63230,2184,822,966,3972
2009,63631,1870,904,1092,3866
2010,63282,2284,1153,1403,4840
2011,62820,2300,1141,1153,4594
2012,62087,2191,1102,1001,4294
2013,62691,2046,990,1045,4081
2014,57506,1441,847,945,3233
2015,43731,1287,685,342,2314
2016,39836,1161,731,457,2349
2017,41032,1054,717,478,2249
2018,40084,877,606,472,1955
2019,40883,1261,843,493,2597
2020,38250,1198,679,281,2158
2021,28582,1422,869,387,2678
2022,27842,1315,725,345,2385
2023,26795,1321,686,372,2379
