Year,Active Hunters,Bull Harvest,Cow Harvest,Calf Harvest,Total Harvest
2006,19515,623,251,545,1419
2007,20009,612,236,556,1404
2008,21565,581,237,544,1362
2009,22137,589,255,528,1372
2010,22925,648,254,567,1469
2011,22763,574,248,654,1476
2012,22882,622,239,539,1400
2013,22844,533,248,460,1241
2014,22203,421,241,448,1110
2015,20784,398,184,473,1055
2016,20089,326,122,318,766
2017,21181,321,160,415,896
2018,20912,350,188,433,971
2019,21580,354,198,450,1002
2020,18053,278,160,309,747
2021,9940,325,144,123,592
2022,8898,294,118,101,513
2023,9084,261,118,123,502
