WMU,Year,Active Hunters,Harvest
2,2012,24,0
2,2013,23,0
2,2014,16,0
2,2015,24,0
2,2016,28,0
2,2017,25,0
2,2018,27,0
2,2019,30,1
2,2020,33,1
2,2021,38,1
2,2022,33,0
2,2023,33,0
3,2012,99,12
3,2013,83,8
3,2014,90,26
3,2015,124,25
3,2016,113,9
3,2017,104,12
3,2018,104,20
3,2019,116,16
3,2020,124,6
3,2021,115,5
3,2022,105,10
3,2023,102,12
4,2012,42,5
4,2013,48,0
4,2014,43,2
4,2015,69,4
4,2016,53,0
4,2017,77,4
4,2018,94,2
4,2019,86,1
4,2020,78,0
4,2021,66,0
4,2022,62,0
4,2023,64,1
5,2012,180,9
5,2013,181,5
5,2014,125,7
5,2015,139,10
5,2016,102,13
5,2017,106,18
5,2018,90,9
5,2019,117,7
5,2020,109,5
5,2021,88,7
5,2022,63,6
5,2023,106,9
6,2012,26,2
6,2013,37,5
6,2014,35,0
6,2015,15,2
6,2016,32,4
6,2017,28,2
6,2018,23,0
6,2019,24,0
6,2020,26,3
6,2021,14,0
6,2022,8,0
6,2023,19,1
7,2019,136,21
7,2020,142,23
7,2021,133,20
7,2022,123,9
7,2023,129,19
8,2012,136,19
8,2013,151,13
8,2014,127,35
8,2015,119,19
8,2016,128,20
8,2017,108,16
8,2018,104,9
8,2019,125,13
8,2020,104,8
8,2021,94,3
8,2022,99,15
8,2023,110,19
9,2019,75,4
9,2020,63,6
9,2021,46,2
9,2022,54,6
9,2023,52,10
10,2012,102,11
10,2013,150,12
10,2014,140,7
10,2015,119,2
10,2016,83,4
10,2017,106,5
10,2018,85,11
10,2019,124,8
10,2020,133,6
10,2021,127,8
10,2022,115,8
10,2023,154,16
11,2019,44,11
11,2020,39,9
11,2021,38,1
11,2022,32,2
11,2023,49,7
12,2019,94,7
12,2020,119,1
12,2021,71,2
12,2022,79,0
12,2023,85,0
13,2012,133,44
13,2013,166,18
13,2014,162,30
13,2015,171,27
13,2016,149,22
13,2017,159,32
13,2018,169,34
13,2019,205,30
13,2020,237,26
13,2021,229,18
13,2022,219,27
13,2023,241,41
14,2012,5,0
14,2013,12,0
14,2014,16,0
14,2015,17,0
14,2016,2,0
14,2017,4,2
14,2018,4,0
14,2019,8,0
14,2020,7,0
14,2021,5,0
14,2022,3,0
14,2023,18,2
15,2019,231,4
15,2020,267,5
15,2021,332,3
15,2022,354,1
15,2023,391,1
16,2019,129,4
16,2020,146,1
16,2021,141,0
16,2022,162,5
16,2023,164,0
17,2012,21,0
17,2013,7,0
17,2014,16,0
17,2015,35,4
17,2016,28,2
17,2017,34,0
17,2018,36,0
17,2019,40,0
17,2020,47,1
17,2021,46,0
17,2022,38,1
17,2023,24,1
18,2019,106,0
18,2020,109,0
18,2021,128,3
18,2022,143,3
18,2023,54,2
19,2012,29,0
19,2013,55,3
19,2014,60,6
19,2015,54,4
19,2016,75,0
19,2017,93,0
19,2018,75,2
19,2019,71,0
19,2020,105,3
19,2021,157,2
19,2022,121,0
19,2023,149,1
21,2019,277,4
21,2020,305,9
21,2021,345,7
21,2022,275,8
21,2023,356,13
22,2012,37,2
22,2013,37,5
22,2014,43,7
22,2015,59,10
22,2016,43,4
22,2017,43,2
22,2018,67,4
22,2019,66,7
22,2020,56,6
22,2021,65,1
22,2022,53,7
22,2023,55,12
23,2012,24,5
23,2013,41,8
23,2014,53,9
23,2015,76,4
23,2016,64,0
23,2017,57,5
23,2018,63,4
23,2019,67,1
23,2020,50,0
23,2021,105,2
23,2022,75,1
23,2023,89,2
24,2012,49,5
24,2013,49,7
24,2014,76,7
24,2015,113,4
24,2016,83,7
24,2017,72,7
24,2018,77,4
24,2019,116,3
24,2020,112,3
24,2021,139,7
24,2022,121,6
24,2023,107,4
25,2012,10,2
25,2013,9,0
25,2014,8,0
25,2015,20,2
25,2016,9,0
25,2017,25,0
25,2018,19,0
25,2019,25,0
25,2020,18,0
25,2021,14,0
25,2022,17,0
25,2023,18,0
26,2012,19,0
26,2013,26,0
26,2014,18,0
26,2015,63,0
26,2016,66,4
26,2017,36,0
26,2018,27,0
26,2019,22,0
26,2020,36,0
26,2021,29,0
26,2022,30,1
26,2023,29,0
27,2012,26,5
27,2013,28,0
27,2014,25,0
27,2015,33,0
27,2016,32,0
27,2017,55,0
27,2018,63,4
27,2019,71,8
27,2020,90,3
27,2021,105,6
27,2022,95,3
27,2023,88,1
28,2012,88,12
28,2013,107,10
28,2014,123,6
28,2015,126,6
28,2016,79,9
28,2017,115,12
28,2018,81,11
28,2019,91,7
28,2020,141,7
28,2021,191,8
28,2022,178,9
28,2023,186,13
29,2012,39,0
29,2013,56,2
29,2014,60,2
29,2015,78,2
29,2016,64,0
29,2017,53,5
29,2018,56,4
29,2019,59,4
29,2020,85,7
29,2021,105,5
29,2022,115,3
29,2023,101,3
30,2012,50,3
30,2013,46,5
30,2014,58,2
30,2015,98,8
30,2016,98,2
30,2017,64,5
30,2018,81,0
30,2019,78,1
30,2020,61,1
30,2021,70,2
30,2022,74,1
30,2023,101,3
31,2012,44,8
31,2013,44,5
31,2014,70,4
31,2015,63,0
31,2016,60,0
31,2017,53,2
31,2018,63,7
31,2019,49,0
31,2020,58,0
31,2021,82,2
31,2022,95,0
31,2023,123,2
32,2012,29,6
32,2013,32,3
32,2014,25,4
32,2015,48,8
32,2016,23,7
32,2017,25,11
32,2018,33,5
32,2019,50,7
32,2020,62,10
32,2021,60,5
32,2022,64,6
32,2023,68,4
33,2012,15,2
33,2013,11,0
33,2014,18,7
33,2015,20,0
33,2016,17,0
